HY020,HY022,HY023,HB070,HB100,head_age,head_PB150,head_PB190,head_PE021,head_PL051A,head_PL060,head_PY010N,head_PH010,household_size,mean_age,std_age,num_males,max_education,num_employed,total_employee_income,total_pension,avg_health,employment_rate,num_children,num_elderly,num_working_age,dependency_ratio,income_per_capita,vhPobreza
38531.3,38531.3,38531.3,9601.0,6.0,54,2,2.0,50.0,94.0,54.0,14376.3,3.0,4,38.75,18.20942979154848,3,50.0,0,38065.7,0.0,2.0,0.0,0,0,4,0.0,9516.425,0
23370.8,12659.4,12659.4,9701.0,11.0,40,1,2.0,,51.0,40.0,0.0,3.0,2,37.5,3.5355339059327378,1,,0,12914.5,0.0,3.0,0.0,0,0,2,0.0,6457.25,0
31840.9,31840.9,31840.9,9801.0,8.0,58,1,2.0,,41.0,40.0,25871.1,2.0,2,61.5,4.949747468305833,1,,0,25871.1,0.0,2.0,0.0,0,1,1,1.0,12935.55,0
30568.9,23508.0,23508.0,9901.0,12.0,45,1,2.0,,75.0,20.0,20621.2,2.0,2,44.5,0.7071067811865476,1,,0,23650.9,7060.9,2.0,0.0,0,0,2,0.0,11825.45,0
14588.9,13899.7,13899.7,10001.0,3.0,55,1,1.0,,51.0,40.0,15054.9,2.0,1,55.0,,1,,0,15054.9,689.2,2.0,0.0,0,0,1,0.0,15054.9,0
48726.5,47526.5,47526.5,10101.0,17.0,38,2,2.0,,23.0,38.0,27117.3,2.0,2,37.5,0.7071067811865476,1,,0,46010.8,0.0,2.0,0.0,0,0,2,0.0,23005.4,0
13361.8,443.9,443.9,10201.0,10.0,62,1,2.0,50.0,,,0.0,2.0,3,48.666666666666664,23.09401076758503,1,50.0,0,443.7,0.0,1.6666666666666667,0.0,0,0,3,0.0,147.9,1
31006.4,31006.4,31006.4,10301.0,9.0,61,1,2.0,,44.0,40.0,19866.1,2.0,4,43.75,20.02290355234891,2,,0,28421.5,0.0,1.75,0.0,0,0,4,0.0,7105.375,0
52021.57,46269.57,46269.57,10401.0,3.0,26,1,1.0,,75.0,40.0,1880.0,2.0,3,41.0,19.467922333931785,2,,0,46269.57,5752.0,2.0,0.0,0,0,3,0.0,15423.19,0
14099.1,14099.1,14099.1,10601.0,8.0,47,2,2.0,,,,0.0,3.0,2,49.0,2.8284271247461903,1,,0,0.0,0.0,3.5,0.0,0,0,2,0.0,0.0,1
63413.5,63413.5,63413.5,10801.0,12.0,56,1,2.0,50.0,42.0,35.0,21777.1,2.0,4,37.75,20.516253719104437,3,50.0,0,62900.6,0.0,1.5,0.0,0,0,4,0.0,15725.15,0
122784.1,122784.1,122784.1,10901.0,13.0,60,1,2.0,,22.0,60.0,79770.4,2.0,2,56.0,5.656854249492381,1,,0,117856.2,0.0,2.0,0.0,0,0,2,0.0,58928.1,0
70672.1,70672.1,70672.1,11001.0,21.0,57,2,2.0,,23.0,35.0,33994.5,2.0,2,58.0,1.4142135623730951,1,,0,72706.6,0.0,2.0,0.0,0,0,2,0.0,36353.3,0
49944.1,46469.4,46469.4,11101.0,11.0,50,2,2.0,50.0,23.0,50.0,30243.6,2.0,2,50.0,0.0,1,50.0,0,48315.3,0.0,2.0,0.0,0,0,2,0.0,24157.65,0
61938.5,61938.5,61938.5,11201.0,16.0,46,2,2.0,,52.0,30.0,16307.1,4.0,2,46.0,0.0,1,,0,60256.299999999996,0.0,3.0,0.0,0,0,2,0.0,30128.149999999998,0
53167.2,53167.2,13.4,11301.0,8.0,68,2,2.0,,,,0.0,1.0,2,69.0,1.4142135623730951,1,,0,0.0,0.0,1.0,0.0,0,2,0,2.0,0.0,0
27767.8,27767.8,27767.8,11401.0,10.0,44,1,1.0,,3.0,35.0,28008.0,2.0,1,44.0,,1,,0,28008.0,0.0,2.0,0.0,0,0,1,0.0,28008.0,0
58999.8,58999.8,58999.8,11501.0,10.0,52,1,2.0,35.0,33.0,37.0,25911.4,2.0,4,36.25,17.63282923034947,2,35.0,0,60604.3,0.0,2.0,0.0,0,0,4,0.0,15151.075,0
55149.92,54864.22,54864.22,11601.0,8.0,48,2,2.0,50.0,31.0,40.0,25660.3,1.0,4,32.5,14.730919862656235,2,50.0,0,37611.72,0.0,1.5,0.0,0,0,4,0.0,9402.93,0
40561.84,40561.84,40561.84,11701.0,4.0,48,2,1.0,,51.0,25.0,20852.08,3.0,2,47.0,1.4142135623730951,1,,0,40561.84,0.0,2.5,0.0,0,0,2,0.0,20280.92,0
66516.8,66516.8,66516.8,11801.0,16.0,62,2,2.0,,13.0,35.0,34474.0,3.0,2,62.0,0.0,1,,0,65708.0,0.0,2.5,0.0,0,0,2,0.0,32854.0,0
33369.3,22981.6,22981.6,11901.0,15.0,54,1,3.0,,52.0,20.0,5307.8,2.0,3,34.333333333333336,17.214335111567145,2,,0,22984.4,0.0,2.6666666666666665,0.0,0,0,3,0.0,7661.466666666667,0
54160.6,49331.3,49331.3,12001.0,7.0,58,2,1.0,,91.0,35.0,22261.8,3.0,3,50.0,15.620499351813308,2,,0,49374.7,4829.3,2.6666666666666665,0.0,0,0,3,0.0,16458.233333333334,0
54600.1,54600.1,41857.7,12101.0,11.0,58,2,2.0,34.0,93.0,20.0,11996.8,2.0,4,40.0,20.92844953645635,2,34.0,0,41879.0,0.0,1.5,0.0,0,0,4,0.0,10469.75,0
33405.66,33405.66,19031.36,12201.0,14.0,42,2,4.0,,91.0,7.0,11135.56,1.0,2,33.0,12.727922061357855,0,,0,19956.559999999998,0.0,2.0,0.0,0,0,2,0.0,9978.279999999999,0
29471.56,29471.56,29471.56,12301.0,9.0,60,1,2.0,,31.0,40.0,19509.3,2.0,2,59.5,0.7071067811865476,1,,0,29654.76,0.0,2.5,0.0,0,0,2,0.0,14827.38,0
11202.85,11202.85,197.65,12401.0,8.0,86,1,4.0,,,,0.0,5.0,1,86.0,,1,,0,0.0,0.0,5.0,0.0,0,1,0,1.0,0.0,1
10446.3,10446.3,-599.9,12501.0,8.0,78,1,4.0,,,,0.0,2.0,1,78.0,,1,,0,0.0,0.0,2.0,0.0,0,1,0,1.0,0.0,1
5553.4,5553.4,5553.4,12601.0,21.0,38,2,1.0,30.0,,,5425.0,1.0,1,38.0,,0,30.0,0,5425.0,0.0,1.0,0.0,0,0,1,0.0,5425.0,1
39170.2,33095.7,33095.7,12701.0,10.0,60,2,2.0,,32.0,35.0,22459.6,2.0,2,62.0,2.8284271247461903,1,,0,33484.2,6074.5,2.5,0.0,0,0,2,0.0,16742.1,0
30295.3,30295.3,9395.4,12801.0,21.0,70,2,2.0,,,,0.0,2.0,2,72.5,3.5355339059327378,1,,0,0.0,0.0,1.5,0.0,0,2,0,2.0,0.0,0
15442.5,2989.3,2989.3,12901.0,8.0,41,2,2.0,,,,0.0,3.0,2,40.0,1.4142135623730951,1,,0,0.0,0.0,2.5,0.0,0,0,2,0.0,0.0,1
56253.99,55465.99,43739.89,13001.0,9.0,59,1,2.0,,83.0,36.0,23091.2,2.0,4,49.25,11.324751652906125,2,,0,43717.4,788.0,1.75,0.0,0,0,4,0.0,10929.35,0
42058.3,40534.9,24782.1,13101.0,15.0,59,2,2.0,,32.0,40.0,19833.4,1.0,2,62.0,4.242640687119285,1,,0,19833.4,1523.4,2.0,0.0,0,1,1,1.0,9916.7,0
58638.7,58638.7,58638.7,13201.0,10.0,52,1,2.0,,26.0,45.0,54180.8,2.0,2,50.5,2.1213203435596424,1,,0,57734.9,0.0,2.5,0.0,0,0,2,0.0,28867.45,0
48010.2,24210.2,24210.2,13301.0,10.0,63,1,5.0,50.0,,,988.7,3.0,2,43.0,28.284271247461902,2,50.0,0,988.7,0.0,2.5,0.0,0,0,2,0.0,494.35,0
33379.1,33379.1,33379.1,13401.0,12.0,56,1,2.0,50.0,26.0,50.0,0.0,2.0,4,40.75,18.82153022471871,2,50.0,0,0.0,0.0,2.0,0.0,0,0,4,0.0,0.0,0
